#{"t_start": 1641254759.786234, "env_id": null}
r,l,t
0.006552,20,7.584933
2.357597,516,33.052577
0.061429,22,34.574618
2.656913,757,70.784781
1.173053,222,80.842301
4.654607,1001,133.412503
0.027455,17,134.716086
0.2325,120,143.107137
2.368143,402,165.509329
4.559869,1001,213.216631
4.148829,814,259.195509
3.127978,627,292.044589
0.719728,132,298.080001
1.485235,255,310.209468
5.056248,1001,359.967442
2.552445,365,380.851329
2.798622,463,402.940485
-0.003034,19,404.90774
4.834837,1001,454.943341
5.363163,855,496.236957
0.516455,89,500.314522
3.307298,522,525.023451
1.828667,232,536.506524
3.202388,366,553.447287
2.230071,391,572.04989
2.050194,357,592.77273
3.145757,538,618.546836
7.336373,743,655.35931
5.444495,766,693.767302
-0.041299,1,694.379457
4.244763,542,719.439413
1.169693,142,727.112354
2.793679,432,749.952343
7.495807,878,794.140938
2.302241,248,805.774669
0.066987,20,807.465392
0.066042,23,808.961189
5.081638,666,841.517042
3.686021,895,885.11878
7.415053,801,924.070204
3.39229,492,949.06729
11.067723,1001,995.558135
8.378249,1001,1044.639506
5.855326,683,1075.54844
4.797048,417,1095.991574
1.103554,117,1101.891603
6.149945,796,1142.548251
5.406385,541,1172.318187
7.43141,599,1204.465112
6.278186,930,1245.980086
5.856999,403,1263.546871
3.575565,1001,1312.629592
2.813076,300,1330.842562
5.679776,863,1374.154994
4.359848,337,1391.971602
2.873515,244,1404.361922
2.828602,249,1416.06466
2.734937,388,1433.938197
5.978954,825,1472.213219
4.097741,1001,1525.039328
4.994456,518,1549.137492
4.578833,1001,1596.170577
3.537071,544,1622.889533
2.857374,248,1634.535537
1.770545,176,1645.922009
2.980659,268,1659.387597
2.236021,208,1670.171952
2.425377,393,1690.334186
-0.691623,1,1690.884939
9.809218,1001,1734.124366
8.715578,534,1762.335886
11.577903,798,1809.213955
2.9285,397,1832.700208
12.357908,745,1876.009633
9.01617,536,1909.154764
16.205544,985,1965.352136
5.180899,531,1998.043667
3.237496,258,2010.570152
4.364121,295,2026.895802
7.454914,385,2052.110981
5.072565,375,2070.682279
1.756987,220,2083.782596
3.689575,288,2098.374787
1.590992,189,2107.288023
7.246366,386,2124.931149
6.467987,439,2145.808713
6.32898,619,2172.391655
4.806387,253,2185.02589
2.752822,205,2194.08334
5.018754,564,2220.702577
3.181354,510,2244.6545
13.371839,688,2276.126124
2.746954,147,2283.653903
7.198101,1001,2330.196031
2.454088,158,2336.969707
6.823193,322,2351.548945
17.215349,1001,2395.91474
5.948382,589,2424.049453
4.833974,220,2433.129707
2.087738,130,2439.300371
1.846895,123,2444.984268
4.167232,229,2456.101879
15.515329,1001,2515.494708
7.481346,412,2539.157721
13.113898,541,2569.651681
6.112398,351,2589.305601
6.78053,293,2606.147821
9.548311,406,2629.182239
2.306165,111,2635.347097
6.613889,318,2654.777308
5.950144,288,2668.43128
6.835974,308,2684.130578
3.270761,160,2691.761867
7.375209,759,2724.162295
7.589475,424,2743.498247
11.365787,502,2765.284164
3.326091,146,2771.410613
2.900168,161,2778.996067
3.896264,523,2802.058678
22.566797,965,2845.215607
3.434584,163,2853.419027
2.249513,135,2859.598843
10.250203,455,2881.415668
3.684292,365,2898.162476
6.160297,246,2909.164163
5.018446,1001,2955.134414
3.580833,167,2962.358981
3.806383,205,2972.34816
5.201626,221,2983.471375
3.363748,216,2993.952877
3.841457,168,3001.777858
3.928132,1001,3047.878318
5.96263,259,3060.807677
1.404533,110,3066.807004
3.991592,218,3078.423902
2.746247,140,3085.168003
3.301779,178,3093.383189
4.985301,194,3103.126949
4.217594,424,3121.728358
0.096315,1,3122.252211
2.445094,151,3131.513555
11.630327,658,3162.014002
18.415939,649,3191.476051
5.520041,429,3211.012869
4.250989,209,3221.924428
6.489184,1001,3268.360845
6.787,221,3279.669585
3.417734,235,3291.907886
16.273353,678,3325.074045
9.560316,352,3341.767193
2.330477,105,3347.272028
6.49325,259,3359.777123
5.3993,231,3370.70841
2.371609,213,3380.772947
3.775764,191,3389.391949
4.076489,181,3397.903068
4.353614,208,3407.009836
3.410405,197,3417.174582
5.324562,196,3426.663494
4.878301,334,3441.542319
2.694951,391,3459.278201
5.122903,208,3470.946315
7.259098,538,3494.977427
3.443611,153,3502.881759
3.519233,177,3510.767094
5.513706,284,3525.873342
2.189187,127,3531.735374
2.998743,150,3538.562694
7.625012,284,3550.987642
2.707528,184,3559.08571
18.191105,898,3602.889119
5.111454,208,3614.041058
4.272027,164,3622.077339
7.479624,590,3650.040868
0.100412,1,3650.592028
2.845339,323,3667.242287
3.993919,213,3678.243608
1.528677,229,3689.00648
3.604771,167,3697.09484
3.391155,810,3735.611963
8.073011,486,3758.42693
12.532764,531,3785.682625
2.947977,192,3796.127231
4.800315,264,3808.867248
6.545042,233,3821.298757
8.82907,425,3841.581186
2.529764,156,3849.102785
12.532788,555,3876.960538
21.761312,726,3911.119424
8.998568,1001,3960.90679
7.852686,300,3975.405118
7.461561,282,3988.734687
11.596928,385,4007.420304
3.455871,172,4017.381243
7.970472,443,4039.836776
2.91769,149,4047.434637
12.34165,408,4069.625545
9.237048,942,4114.053534
7.830417,242,4126.552614
8.162231,1001,4175.771087
8.261301,259,4187.644026
11.932686,383,4207.074776
9.765117,301,4222.368314
3.19336,136,4229.367867
14.103223,1001,4277.158242
3.434554,136,4284.241506
4.956039,198,4294.0341
