#{"t_start": 1641507745.9739182, "env_id": null}
r,l,t
-8.535191,1001,11.118669
-2.540732,568,14.740235
-6.525297,1001,22.636664
-7.485911,1001,28.998064
-5.263087,1001,34.926549
-9.205161,1001,40.843705
1.61623,1001,46.677226
-5.001023,1001,52.472682
-6.444497,1001,58.282037
-6.897871,1001,64.00937
-0.752753,1001,75.736564
-7.314151,1001,92.362526
-2.44354,1001,109.646229
-4.428659,516,119.430041
-3.557002,479,128.376124
-1.689594,146,131.329331
-3.768961,521,141.134143
-4.155873,242,145.65186
-0.732,60,147.207048
-1.937071,128,149.899181
-9.073083,617,161.215396
-1.842911,92,163.353682
-4.4979,594,174.091997
-1.035114,114,176.670297
-9.03015,829,193.223523
-5.567279,295,199.680402
-7.252557,420,207.435302
-2.949585,223,211.947026
-7.039574,707,225.225519
-6.856113,992,246.310845
-2.916986,768,261.843292
-10.923499,1001,280.872441
-6.597892,328,287.168425
-4.343445,241,291.875865
-17.777615,1001,311.328118
-0.304063,26,312.342158
-4.461903,207,316.843866
-3.665392,296,323.614882
-15.915624,1001,342.630893
-3.337616,405,351.339773
-11.592741,966,370.35512
-9.836432,529,381.023377
-8.090865,774,395.971705
-5.007674,354,403.063092
-1.977495,143,406.642612
-1.528729,93,408.994339
-14.192023,1001,428.119596
-4.599844,278,434.706728
-3.76159,257,440.540381
-0.306886,40,441.880935
-4.463131,308,448.498484
-1.657909,129,451.379462
-0.347257,32,452.475792
-0.466576,46,453.853528
-1.179416,88,456.027184
-3.194618,351,463.457468
-5.160441,336,470.55349
-4.074199,221,475.436639
-16.132702,1001,495.374462
-13.669443,1001,514.943902
-10.338296,879,532.440918
-4.209951,212,537.120405
-1.305811,138,540.277485
-3.837846,201,544.514755
-17.88829,913,562.780771
-0.476265,34,563.939176
-2.198522,98,566.241179
-20.605143,1001,585.721193
-21.135801,1001,604.743896
-3.419446,179,608.764819
-5.501754,266,614.217228
-6.96041,418,622.528227
-5.653189,308,629.301302
-2.799987,133,632.310211
-4.723867,327,639.073749
-10.578169,527,649.598299
-1.520335,90,652.16648
-6.556878,324,658.757886
-12.289682,522,669.458637
-21.998208,1001,692.194771
-4.967631,229,696.932225
-2.112843,119,699.682403
-6.812999,320,707.010413
-19.789117,838,724.854191
-1.69521,105,727.587615
-2.817668,346,735.492836
-20.210629,1001,755.811595
-8.622068,352,762.861958
-3.972541,228,767.589059
-6.613601,348,775.942562
-17.9499,1001,798.254767
-17.437444,1001,823.910155
0.086265,1,824.698641
-7.842077,390,833.878037
-2.171846,182,838.759113
-2.693713,179,844.294937
-5.891534,285,851.575954
-10.29835,773,869.527572
-6.009146,539,883.931798
-1.575744,168,888.504779
-16.963078,950,909.404246
-13.9986,808,928.066694
-5.930162,381,936.653353
-3.704233,189,941.06374
-6.922173,365,948.692415
-6.36986,420,957.464795
-6.74627,450,967.593089
-3.059778,164,971.508191
-1.499923,84,973.748019
-7.245594,338,981.281773
-2.521559,164,985.432875
-2.548198,136,989.007015
-5.857412,308,995.941365
-22.306196,1001,1016.423408
-1.182648,69,1018.399963
-10.147168,389,1026.173372
-0.973633,52,1027.712268
-4.562354,288,1034.547418
-4.609396,355,1041.73532
-2.475326,119,1044.540578
-1.830517,117,1047.247166
-2.107941,130,1050.186698
-1.681479,380,1058.480799
-14.607541,1001,1079.296746
-12.047832,836,1097.906725
-2.940494,172,1102.536228
-5.778852,288,1109.10085
-8.701115,564,1122.210844
-3.643935,187,1126.449873
-2.44513,130,1129.512582
-8.785225,441,1138.766058
-1.037225,64,1140.603772
-9.549939,552,1151.891182
-2.854946,218,1156.980245
-2.965049,154,1160.569974
-4.936199,282,1166.483332
-2.206987,117,1169.175333
-8.110981,541,1180.435237
-0.998126,436,1189.989732
-4.918104,373,1198.014683
-4.411691,511,1208.361656
-9.607788,1001,1229.718457
-3.236836,205,1234.523456
-6.03922,702,1248.778197
-6.027645,276,1254.839833
-15.625508,1001,1275.199066
-4.442693,167,1279.545606
-2.118485,113,1282.577336
-2.848814,139,1286.099786
-3.486208,166,1290.231164
-3.835807,298,1296.881749
-4.782653,271,1303.920523
-2.087453,183,1308.901613
-2.534907,213,1314.332066
-4.62664,210,1319.336145
-3.948398,292,1325.953766
-6.7452,379,1333.806188
-10.41939,460,1343.011783
-1.830416,105,1345.603925
-2.992774,138,1348.767718
-0.867409,61,1350.45568
-2.623257,418,1358.845797
-5.432362,297,1365.760286
-1.540648,79,1367.782008
-10.682321,485,1377.847439
-3.535594,177,1382.266467
-2.629907,161,1386.187555
-3.259408,184,1390.31064
-4.297668,231,1395.335993
-5.491136,309,1402.158023
-16.038475,755,1419.285925
-11.272599,668,1433.416435
-2.941978,213,1438.393963
-5.523895,368,1446.323475
-10.104691,637,1459.863317
-3.639525,530,1473.870714
-2.434916,278,1481.822409
-5.642642,486,1494.569164
-1.007767,153,1499.34231
-1.077242,118,1502.813812
-1.014801,189,1507.931152
-3.901789,1001,1533.099565
-4.712319,923,1556.062527
-2.091425,158,1560.486421
-0.612002,401,1571.160836
-4.095708,1001,1596.342267
-1.525604,396,1606.85182
-1.216116,383,1617.125033
-3.470605,566,1632.617565
-2.237743,541,1646.826862
0.744318,115,1650.249774
-3.898396,1001,1676.637659
-0.490068,50,1678.489714
-5.83399,710,1696.033378
-1.493279,628,1711.970536
-2.176395,267,1719.005199
-0.874552,163,1723.924341
-1.690517,164,1728.588067
-0.607313,245,1735.23259
-3.828952,1001,1760.191859
-2.421692,621,1778.681626
-1.641959,260,1786.620894
-1.381279,286,1794.405544
-6.982805,1001,1819.213569
0.09899,1,1819.977805
0.374494,185,1825.034478
-2.257532,1001,1850.811351
1.313547,359,1860.339342
-0.550851,235,1866.630213
0.671363,578,1881.467793
-0.572554,539,1895.003908
-1.561382,326,1903.988805
0.01603,352,1912.928509
-2.795289,590,1927.977605
0.03722,240,1934.344485
0.114308,173,1939.002846
-1.568399,1001,1963.780215
-1.089108,212,1969.677956
1.968161,521,1982.866747
0.111293,280,1990.139167
-0.354191,1001,2014.995708
1.129776,280,2022.388089
0.707679,286,2029.933581
-0.200625,173,2034.919276
2.027218,670,2051.550594
4.315609,651,2067.825228
0.204492,175,2072.784156
0.931393,405,2082.970252
2.53868,634,2098.940696
1.089734,286,2106.481589
1.720646,279,2113.680889
1.120243,432,2124.723486
1.254725,338,2133.495639
2.660153,513,2146.617794
0.781781,173,2151.393988
0.154681,149,2155.493282
1.462853,558,2169.392133
3.129355,585,2184.567852
1.241202,427,2196.119473
0.756354,240,2202.647083
1.9019,369,2212.080103
4.852239,677,2229.338667
5.446879,1001,2256.436081
5.018448,938,2281.993791
5.214395,878,2305.515811
2.660983,643,2323.341586
2.012039,476,2336.469387
2.38026,535,2351.120891
4.465603,1001,2377.856385
4.326358,1001,2404.881534
3.791332,719,2424.473767
1.561671,257,2433.13563
5.873086,1001,2470.648765
7.783621,1001,2499.512816
1.810533,233,2506.050653
1.25953,189,2511.530332
8.323666,1001,2538.744943
2.417098,239,2545.688788
3.892993,452,2557.491157
3.030558,378,2567.552029
3.716674,516,2580.982541
2.574272,262,2588.017524
2.196019,224,2594.146156
3.339422,427,2605.595424
0.506912,139,2609.644923
1.025352,98,2612.664965
5.527901,677,2630.030497
1.80302,143,2634.150265
1.628141,146,2638.309243
2.226612,245,2644.812484
2.454183,177,2650.016933
0.733603,86,2653.064862
1.770708,128,2656.920103
1.795317,162,2661.479431
1.73206,173,2666.484685
1.673465,147,2670.756725
2.099319,344,2680.011555
6.869492,1001,2705.069146
0.74856,78,2707.804306
0.583228,73,2710.286327
1.301713,204,2715.767498
1.055801,72,2718.221566
1.468851,217,2724.132775
5.128528,651,2741.00967
2.887185,333,2750.016544
0.454026,63,2752.147308
1.712906,188,2757.931457
1.393404,186,2764.390311
1.103328,155,2768.981111
0.494461,70,2771.40162
1.088796,86,2774.256418
1.93611,242,2781.328275
-0.581782,1,2781.968786
3.537677,475,2794.570222
6.384858,1001,2821.606414
7.645953,1001,2847.613073
0.074332,1,2848.391342
4.978697,608,2863.920224
1.325811,160,2868.602697
6.002929,1001,2893.907398
7.500264,1001,2919.320402
1.119143,143,2923.452453
6.956516,1001,2948.600041
6.716493,1001,2973.897473
2.874537,311,2982.308214
2.482833,289,2990.103035
1.860728,275,2997.615879
6.561811,918,3020.492246
1.453642,205,3026.496485
1.158835,137,3030.461798
-0.235984,16,3031.712625
3.773792,581,3047.703598
5.500549,655,3066.763269
3.830161,385,3078.054773
6.745113,785,3099.556761
3.342703,361,3109.085824
7.658091,797,3130.425206
5.999732,599,3148.061466
3.970762,437,3162.712973
1.044438,79,3165.97463
2.952464,303,3174.510519
5.272656,494,3187.486245
0.965304,64,3189.678635
1.558181,138,3193.732516
2.396345,280,3201.756929
4.43442,423,3212.066822
9.977745,1001,3234.348559
7.897069,724,3253.306295
3.672372,311,3261.480139
3.098386,362,3269.517518
2.571747,227,3275.219398
9.85994,1001,3299.429601
4.520902,513,3311.403049
6.021559,733,3328.249737
4.069813,399,3337.596777
-2.959227,1,3338.255013
6.46477,685,3354.259226
2.929702,280,3361.036795
6.503687,660,3376.307662
1.477451,153,3380.27099
2.625029,278,3386.825384
7.98813,1001,3410.342523
6.759256,681,3426.339564
9.401458,1001,3451.795665
7.326579,1001,3474.573795
0.934155,87,3477.211951
8.914879,776,3494.89837
2.544516,280,3501.696339
7.715851,1001,3524.808748
1.667193,106,3527.763887
1.173716,79,3529.997552
9.629744,1001,3553.261388
1.182342,109,3556.278134
1.236363,83,3558.70342
6.1185,601,3572.800652
0.712952,53,3574.627995
4.486097,561,3587.641225
1.297451,107,3590.608335
0.842847,54,3592.604914
0.77518,62,3594.599056
9.342409,1001,3617.404152
10.002867,1001,3640.136457
0.81342,57,3642.000953
8.816034,1001,3665.145683
1.809727,169,3669.405236
8.254355,1001,3694.567266
5.160306,422,3705.572092
0.95669,109,3709.104152
5.948285,446,3719.398569
2.650046,160,3723.60706
8.039757,835,3743.444333
5.659156,375,3752.96412
3.792952,195,3758.269609
1.484643,95,3761.496619
6.394544,584,3779.709642
4.039659,324,3788.361696
2.63193,143,3792.392838
1.239454,73,3795.034415
1.593698,91,3798.219955
-0.038882,12,3799.284183
2.429806,187,3804.779132
9.165444,1001,3829.596242
3.379261,207,3835.263861
3.613427,200,3840.488125
4.900416,371,3849.49887
1.441133,82,3852.050943
2.061151,189,3857.207853
9.444037,1001,3881.597385
6.319285,503,3895.270789
0.759103,56,3897.556083
10.949803,1001,3923.465358
1.260358,73,3925.71234
4.047511,333,3933.894972
6.432137,497,3945.587767
3.827906,288,3952.97527
6.724796,622,3968.169809
1.257025,70,3970.489754
1.020868,78,3972.956567
1.696635,113,3976.708175
2.140905,167,3983.171177
1.211922,68,3985.563992
5.387564,414,3995.88119
3.525549,288,4002.310344
1.189282,71,4004.376285
1.594642,125,4007.58752
1.055649,58,4009.367863
1.58186,100,4012.003483
7.918256,1001,4033.435614
4.624095,364,4040.876276
10.663548,1001,4062.173331
1.896408,114,4065.262099
1.525104,88,4067.723208
10.603275,1001,4087.459027
2.780306,147,4090.543062
4.885319,312,4096.620348
11.755433,1001,4115.310129
10.554132,1001,4133.810427
3.153606,192,4137.616037
4.629832,325,4144.012989
12.292672,1001,4162.28794
6.984232,473,4171.352033
4.442336,330,4177.76522
7.306776,779,4192.063454
4.504864,342,4198.929603
13.049035,1001,4217.461774
4.057447,343,4224.07077
9.012128,1001,4242.736181
5.702698,289,4248.5711
19.868045,1001,4266.967045
11.064287,1001,4284.583349
8.590133,1001,4302.986648
8.938213,1001,4321.800425
10.893106,877,4337.906831
5.946086,485,4347.06098
11.10809,1001,4365.519281
10.514976,1001,4384.138352
3.407287,192,4387.997895
4.384157,338,4394.599283
2.525581,151,4398.100978
0.074634,1,4398.684872
8.885896,1001,4417.42656
2.669594,206,4421.913107
9.245345,835,4437.536006
0.61445,39,4438.729491
6.257358,467,4447.365119
8.172455,561,4458.157156
11.618985,1001,4476.251232
10.225994,630,4487.996261
11.059341,966,4505.741465
1.977449,143,4508.779891
1.508807,103,4511.188437
5.676265,344,4517.788601
2.151342,134,4520.628978
5.461687,314,4526.889482
15.147764,937,4543.869222
6.938882,479,4553.189535
1.446797,123,4555.83733
2.651422,168,4559.333109
5.05775,500,4568.545362
8.4767,780,4583.06941
7.706711,668,4595.561904
2.597903,189,4599.394482
13.165451,878,4615.838484
9.206445,796,4630.660793
14.454506,1001,4649.053532
10.941642,1001,4667.915412
7.811466,730,4681.464784
10.070591,1001,4699.486012
5.631011,494,4708.997921
7.19338,609,4720.541121
6.03448,468,4729.551974
1.888314,127,4732.338654
11.240265,1001,4750.863961
2.467849,164,4754.588214
9.741453,643,4766.232621
10.329252,862,4781.995677
11.645572,1001,4800.00824
4.974749,278,4805.328488
7.187544,585,4816.529062
11.195674,819,4831.184054
3.658632,446,4839.820496
1.533023,114,4842.414965
7.088991,471,4851.156276
9.776453,1001,4869.606626
7.128574,513,4879.271145
3.16653,231,4883.801419
4.424861,260,4888.81698
14.924597,1001,4906.863659
12.149691,1001,4925.10093
4.749469,266,4930.194542
3.228466,191,4934.042119
11.355221,1001,4952.889848
8.694576,738,4966.452728
7.595904,1001,4984.98499
4.016397,272,4990.283873
3.849028,399,4998.132105
2.140075,138,5001.180611
13.475788,1001,5019.383037
11.169329,1001,5037.817739
8.098605,511,5047.068026
12.025643,1001,5065.945622
5.779007,529,5075.908814
8.835231,572,5086.81803
7.027996,501,5096.09056
16.095741,1001,5114.433522
10.846937,1001,5132.908097
8.730861,627,5144.888061
12.120643,1001,5163.100708
7.544474,1001,5181.583577
7.015952,425,5189.804265
9.377507,1001,5208.562021
9.4856,1001,5227.345895
8.044352,380,5235.206647
6.950281,424,5243.106955
3.629301,180,5246.69788
1.989359,146,5249.694436
17.462561,1001,5267.700397
7.03659,485,5276.707269
5.55051,308,5282.530715
1.763535,101,5284.8536
7.01328,468,5293.902483
7.173297,390,5301.360294
9.233745,551,5311.656192
9.332542,708,5325.067525
5.924312,390,5332.447405
10.405313,1001,5351.030002
8.276329,1001,5369.079734
3.689529,275,5374.250668
9.132325,1001,5392.434134
1.129693,71,5394.167796
12.127105,1001,5412.205142
4.875943,439,5420.347955
13.929173,1001,5438.912615
14.814789,1001,5457.20457
7.523936,574,5467.625878
10.469949,1001,5486.602996
14.569085,1001,5504.961299
7.414448,725,5518.439148
10.813018,1001,5537.258395
9.422591,796,5551.78422
13.944097,1001,5569.263116
13.747773,1001,5587.517526
10.572016,1001,5605.882597
11.277443,839,5620.827422
11.562536,1001,5638.727863
8.814147,1001,5656.781321
12.856423,1001,5675.041602
8.620926,687,5687.841518
10.23876,1001,5706.76755
5.43942,288,5712.271626
15.462722,1001,5730.603857
12.684318,1001,5749.156572
6.643624,565,5759.612464
7.935147,509,5769.367502
11.399817,1001,5790.15674
10.444116,900,5808.730872
16.303218,895,5826.773352
5.078395,268,5832.252668
10.163951,584,5843.234719
9.755883,1001,5868.084771
